               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.069713,            0.074611,                   0,             0.36238,             0.37113,             0.28893,            0.078777,            0.069291,            0.096943,                   0,           0.0043314,           0.0043314,            0.052231
                  58,            0.071835,            0.085954,                   0,             0.28395,             0.35976,             0.22962,            0.073037,            0.070466,            0.095146,                   0,           0.0043768,           0.0043768,            0.051377
                  59,             0.06813,            0.078079,                   0,             0.38054,             0.38144,             0.30932,            0.080674,            0.065093,             0.10244,                   0,           0.0044208,           0.0044208,            0.050521
                  60,            0.068053,            0.076418,                   0,             0.42261,             0.33957,             0.34199,             0.10741,            0.065753,             0.10387,                   0,           0.0044635,           0.0044635,            0.049663
                  61,            0.063586,            0.092936,                   0,              0.3134,             0.43299,              0.3121,            0.087502,             0.06291,              0.1005,                   0,           0.0045048,           0.0045048,            0.048805
                  62,            0.065415,            0.090914,                   0,             0.29922,             0.49485,             0.30041,            0.076068,            0.066838,            0.099957,                   0,           0.0045446,           0.0045446,            0.047945
                  63,            0.069151,            0.080642,                   0,             0.23272,             0.52577,             0.27728,            0.080005,            0.069417,             0.10136,                   0,           0.0045831,           0.0045831,            0.047083
                  64,            0.072828,            0.069469,                   0,             0.37696,             0.38049,             0.29696,            0.073651,             0.07004,             0.10651,                   0,           0.0046202,           0.0046202,             0.04622
                  65,            0.073856,            0.088989,                   0,             0.30145,             0.36082,             0.25632,            0.065901,            0.076535,            0.088664,                   0,           0.0046558,           0.0046558,            0.045356
                  66,            0.077634,            0.078137,                   0,             0.29606,              0.4433,             0.24656,            0.060335,            0.073776,             0.10285,                   0,             0.00469,             0.00469,             0.04449
                  67,            0.074689,            0.084588,                   0,             0.29606,              0.4433,             0.24656,            0.060335,            0.073776,             0.10285,                   0,           0.0047228,           0.0047228,            0.043623
                  68,             0.08111,            0.088981,                   0,             0.21897,              0.3299,             0.15932,            0.034932,            0.080129,              0.1057,                   0,           0.0047541,           0.0047541,            0.042754
                  69,            0.079603,            0.088894,                   0,             0.21957,             0.26804,             0.14021,            0.038252,            0.079752,             0.10678,                   0,            0.004784,            0.004784,            0.041884
                  70,            0.075061,             0.08324,                   0,             0.32002,             0.25773,             0.16958,            0.052477,            0.076258,             0.10064,                   0,           0.0048124,           0.0048124,            0.041012
                  71,            0.072156,            0.089921,                   0,             0.33525,             0.38144,             0.28167,            0.085938,            0.071773,            0.091746,                   0,           0.0048394,           0.0048394,            0.040139
                  72,            0.070113,            0.078771,                   0,             0.21958,             0.48454,             0.20804,            0.054975,            0.076909,            0.084699,                   0,           0.0048649,           0.0048649,            0.039265
                  73,             0.07493,            0.072784,                   0,             0.30399,             0.36082,             0.26315,            0.071695,            0.071508,             0.10527,                   0,            0.004889,            0.004889,            0.038389
                  74,            0.081191,            0.067934,                   0,             0.30399,             0.36082,             0.26315,            0.071695,            0.071508,             0.10527,                   0,           0.0049115,           0.0049115,            0.037512
                  75,            0.088558,            0.075222,                   0,             0.22759,              0.4433,             0.23259,            0.063451,            0.078928,            0.096515,                   0,           0.0049327,           0.0049327,            0.036633
                  76,            0.082103,             0.07353,                   0,              0.4524,             0.25773,             0.28259,            0.087753,            0.074878,            0.097059,                   0,           0.0049523,           0.0049523,            0.035752
                  77,            0.077181,            0.081015,                   0,             0.46766,             0.45284,             0.35413,             0.10062,            0.073166,            0.097595,                   0,           0.0049705,           0.0049705,            0.034871
                  78,            0.070657,            0.065993,                   0,             0.45035,             0.42268,             0.38574,              0.1069,            0.069559,            0.094496,                   0,           0.0049873,           0.0049873,            0.033987
                  79,            0.076001,            0.069793,                   0,             0.45035,             0.42268,             0.38574,              0.1069,            0.069559,            0.094496,                   0,           0.0050025,           0.0050025,            0.033103
                  80,            0.071966,            0.072599,                   0,             0.47066,             0.43299,             0.41445,             0.13064,            0.071011,            0.091672,                   0,           0.0050163,           0.0050163,            0.032216
                  81,            0.070008,            0.066528,                   0,             0.41027,             0.40206,             0.34686,            0.090361,            0.070116,            0.096632,                   0,           0.0050287,           0.0050287,            0.031329
                  82,            0.068113,            0.072915,                   0,             0.42778,             0.37113,             0.31739,             0.09866,             0.07259,            0.093051,                   0,           0.0050396,           0.0050396,             0.03044
                  83,            0.071062,            0.065424,                   0,             0.42778,             0.37113,             0.31739,             0.09866,             0.07259,            0.093051,                   0,            0.005049,            0.005049,            0.029549
                  84,            0.067276,            0.069729,                   0,             0.43412,             0.34021,             0.33813,               0.108,            0.070295,            0.095469,                   0,            0.005057,            0.005057,            0.028657
                  85,            0.064181,            0.071626,                   0,             0.45403,             0.30865,             0.33758,             0.09123,            0.070545,             0.10052,                   0,           0.0050635,           0.0050635,            0.027764
                  86,            0.063968,            0.066236,                   0,             0.45403,             0.30865,             0.33758,             0.09123,            0.070545,             0.10052,                   0,           0.0050686,           0.0050686,            0.026869
                  87,            0.065884,            0.069433,                   0,             0.36796,             0.36082,             0.30639,             0.12168,            0.071336,            0.098347,                   0,           0.0050723,           0.0050723,            0.025972
                  88,            0.064534,            0.078392,                   0,             0.54529,             0.37113,             0.34632,            0.089978,             0.06351,              0.1016,                   0,           0.0050746,           0.0050746,            0.025075
                  89,            0.061942,            0.083596,                   0,             0.54529,             0.37113,             0.34632,            0.089978,             0.06351,              0.1016,                   0,           0.0050754,           0.0050754,            0.024175
                  90,            0.065008,            0.085623,                   0,             0.44292,             0.40206,             0.32588,            0.079363,            0.063844,             0.10013,                   0,           0.0050748,           0.0050748,            0.023275
                  91,            0.060791,            0.083302,                   0,              0.4889,             0.46349,             0.43605,             0.14082,            0.068365,             0.09964,                   0,           0.0050729,           0.0050729,            0.022373
                  92,            0.058579,            0.073951,                   0,              0.4889,             0.46349,             0.43605,             0.14082,            0.068365,             0.09964,                   0,           0.0050695,           0.0050695,             0.02147
                  93,            0.061627,            0.069509,                   0,             0.62863,             0.35052,             0.39715,             0.11053,            0.073119,            0.094334,                   0,           0.0050648,           0.0050648,            0.020565
                  94,            0.063577,            0.075016,                   0,             0.36118,             0.43299,             0.30837,            0.088515,            0.062511,             0.10309,                   0,           0.0050587,           0.0050587,            0.019659
                  95,            0.067449,            0.079086,                   0,             0.36118,             0.43299,             0.30837,            0.088515,            0.062511,             0.10309,                   0,           0.0050512,           0.0050512,            0.018751
                  96,            0.064362,            0.080911,                   0,             0.30659,             0.51546,             0.33126,            0.098429,            0.062615,             0.10376,                   0,           0.0050424,           0.0050424,            0.017842
                  97,            0.064817,            0.070318,                   0,             0.53518,              0.3917,             0.39087,             0.12707,            0.071531,            0.095328,                   0,           0.0050323,           0.0050323,            0.016932
                  98,            0.061534,            0.082368,                   0,             0.53518,              0.3917,             0.39087,             0.12707,            0.071531,            0.095328,                   0,           0.0050208,           0.0050208,            0.016021
                  99,            0.057128,            0.078748,                   0,             0.51248,             0.40206,             0.39056,             0.13635,            0.068304,             0.10042,                   0,            0.005008,            0.005008,            0.015108
                 100,              0.0553,            0.078245,                   0,              0.3802,             0.40206,             0.34972,             0.11319,            0.065506,             0.10381,                   0,            0.004994,            0.004994,            0.014194
                 101,            0.068971,            0.072084,                   0,              0.3802,             0.40206,             0.34972,             0.11319,            0.065506,             0.10381,                   0,           0.0049787,           0.0049787,            0.013279
                 102,            0.066763,            0.074553,                   0,             0.52252,              0.4433,             0.41918,              0.1499,            0.063224,             0.11174,                   0,           0.0049621,           0.0049621,            0.012362
                 103,            0.059855,            0.064263,                   0,             0.52252,              0.4433,             0.41918,              0.1499,            0.063224,             0.11174,                   0,           0.0049443,           0.0049443,            0.011444
                 104,            0.056112,            0.067586,                   0,               0.685,             0.38144,             0.43799,             0.16813,            0.063199,             0.10638,                   0,           0.0049253,           0.0049253,            0.010525
                 105,            0.056355,             0.07417,                   0,             0.58361,             0.39175,             0.37809,             0.11036,            0.062193,            0.097169,                   0,            0.004905,            0.004905,            0.009605
                 106,            0.060372,            0.070169,                   0,             0.58361,             0.39175,             0.37809,             0.11036,            0.062193,            0.097169,                   0,           0.0048836,           0.0048836,           0.0086836
                 107,            0.056541,            0.081519,                   0,             0.58179,             0.47423,             0.47166,             0.17405,            0.058574,             0.10628,                   0,            0.004861,            0.004861,            0.007761
                 108,            0.048767,            0.076599,                   0,             0.58179,             0.47423,             0.47166,             0.17405,            0.058574,             0.10628,                   0,           0.0048373,           0.0048373,           0.0068373
                 109,            0.049422,            0.065763,                   0,             0.53993,             0.55655,             0.46654,             0.14125,            0.058095,             0.10887,                   0,           0.0048124,           0.0048124,           0.0059124
                 110,            0.049717,            0.072029,                   0,             0.53993,             0.55655,             0.46654,             0.14125,            0.058095,             0.10887,                   0,           0.0047865,           0.0047865,           0.0049865
                 111,            0.045644,            0.065789,                   0,              0.5451,             0.55591,             0.46771,             0.14232,            0.057782,             0.10315,                   0,           0.0047263,           0.0047263,           0.0047263
                 112,             0.04542,            0.077511,                   0,              0.5451,             0.55591,             0.46771,             0.14232,            0.057782,             0.10315,                   0,           0.0047263,           0.0047263,           0.0047263
                 113,            0.047066,            0.075224,                   0,             0.54523,             0.48454,              0.4583,             0.14346,            0.057813,             0.09785,                   0,           0.0046568,           0.0046568,           0.0046568
                 114,            0.048058,            0.076791,                   0,             0.54758,             0.47423,             0.44386,             0.15213,            0.055043,            0.097765,                   0,           0.0045875,           0.0045875,           0.0045875
                 115,            0.049777,             0.08324,                   0,             0.54758,             0.47423,             0.44386,             0.15213,            0.055043,            0.097765,                   0,           0.0045184,           0.0045184,           0.0045184
                 116,            0.049399,            0.071773,                   0,             0.62885,             0.47423,             0.50991,             0.16396,            0.059122,            0.096844,                   0,           0.0044495,           0.0044495,           0.0044495
                 117,            0.051004,            0.079158,                   0,             0.62885,             0.47423,             0.50991,             0.16396,            0.059122,            0.096844,                   0,           0.0043809,           0.0043809,           0.0043809
                 118,            0.048371,            0.069796,                   0,             0.59764,             0.53594,             0.49357,             0.18302,            0.053508,            0.098958,                   0,           0.0043126,           0.0043126,           0.0043126
                 119,            0.047064,            0.077345,                   0,             0.59764,             0.53594,             0.49357,             0.18302,            0.053508,            0.098958,                   0,           0.0042445,           0.0042445,           0.0042445
                 120,            0.046647,            0.077362,                   0,             0.61252,              0.5567,             0.51902,             0.19831,            0.053375,              0.1008,                   0,           0.0041768,           0.0041768,           0.0041768
                 121,            0.046577,            0.081601,                   0,             0.56075,              0.4738,             0.43915,             0.13455,            0.054172,             0.10229,                   0,           0.0041094,           0.0041094,           0.0041094
                 122,            0.050833,             0.07132,                   0,             0.56075,              0.4738,             0.43915,             0.13455,            0.054172,             0.10229,                   0,           0.0040424,           0.0040424,           0.0040424
                 123,            0.053644,            0.069499,                   0,             0.51604,             0.49485,             0.44263,             0.15958,            0.059495,              0.1002,                   0,           0.0039757,           0.0039757,           0.0039757
                 124,            0.051851,            0.075415,                   0,             0.51604,             0.49485,             0.44263,             0.15958,            0.059495,              0.1002,                   0,           0.0039094,           0.0039094,           0.0039094
                 125,            0.049508,            0.078368,                   0,             0.65295,             0.50515,             0.52493,              0.1997,            0.053457,             0.10472,                   0,           0.0038434,           0.0038434,           0.0038434
                 126,            0.046424,            0.078212,                   0,             0.65295,             0.50515,             0.52493,              0.1997,            0.053457,             0.10472,                   0,           0.0037779,           0.0037779,           0.0037779
