               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.057513,            0.079605,                   0,             0.46923,             0.40206,             0.37249,             0.11822,            0.065653,            0.098192,                   0,           0.0096243,           0.0096243,           0.0096243
                 133,            0.054413,            0.081138,                   0,             0.46923,             0.40206,             0.37249,             0.11822,            0.065653,            0.098192,                   0,           0.0096186,           0.0096186,           0.0096186
                 134,             0.05254,            0.066946,                   0,             0.69035,             0.39175,             0.46146,             0.17559,            0.062882,             0.10232,                   0,           0.0096129,           0.0096129,           0.0096129
                 135,            0.050338,            0.073901,                   0,             0.69035,             0.39175,             0.46146,             0.17559,            0.062882,             0.10232,                   0,           0.0096071,           0.0096071,           0.0096071
                 136,            0.050989,            0.078282,                   0,             0.62598,             0.43299,             0.47618,             0.15873,            0.059994,             0.10323,                   0,           0.0096013,           0.0096013,           0.0096013
                 137,            0.051177,            0.080822,                   0,             0.42312,             0.40206,              0.3161,             0.08868,            0.071758,             0.10337,                   0,           0.0095955,           0.0095955,           0.0095955
                 138,            0.065799,            0.084722,                   0,             0.42312,             0.40206,              0.3161,             0.08868,            0.071758,             0.10337,                   0,           0.0095896,           0.0095896,           0.0095896
                 139,            0.066669,            0.077629,                   0,             0.47868,             0.47423,             0.37782,              0.1012,            0.062165,             0.12596,                   0,           0.0095837,           0.0095837,           0.0095837
                 140,            0.063328,            0.079037,                   0,             0.47868,             0.47423,             0.37782,              0.1012,            0.062165,             0.12596,                   0,           0.0095777,           0.0095777,           0.0095777
                 141,            0.057506,            0.090287,                   0,             0.42826,             0.40206,             0.36485,             0.12607,            0.063476,             0.12441,                   0,           0.0095717,           0.0095717,           0.0095717
                 142,            0.050864,            0.073035,                   0,             0.42826,             0.40206,             0.36485,             0.12607,            0.063476,             0.12441,                   0,           0.0095657,           0.0095657,           0.0095657
                 143,            0.048962,            0.057542,                   0,             0.40338,              0.5855,             0.42852,             0.14978,            0.060891,             0.12976,                   0,           0.0095596,           0.0095596,           0.0095596
                 144,             0.04839,            0.069567,                   0,             0.40338,              0.5855,             0.42852,             0.14978,            0.060891,             0.12976,                   0,           0.0095535,           0.0095535,           0.0095535
                 145,            0.050137,            0.077847,                   0,             0.49427,             0.48454,              0.4374,             0.15557,            0.059105,             0.13071,                   0,           0.0095473,           0.0095473,           0.0095473
                 146,            0.049834,            0.077833,                   0,             0.65734,             0.49485,             0.52242,             0.17422,            0.063193,             0.10653,                   0,           0.0095411,           0.0095411,           0.0095411
                 147,            0.052037,            0.081833,                   0,             0.65734,             0.49485,             0.52242,             0.17422,            0.063193,             0.10653,                   0,           0.0095349,           0.0095349,           0.0095349
                 148,            0.053047,             0.09331,                   0,             0.47755,             0.47423,             0.42736,              0.1412,            0.057225,             0.10862,                   0,           0.0095286,           0.0095286,           0.0095286
                 149,            0.053433,             0.08106,                   0,             0.47755,             0.47423,             0.42736,              0.1412,            0.057225,             0.10862,                   0,           0.0095223,           0.0095223,           0.0095223
                 150,            0.051967,            0.079609,                   0,              0.5314,             0.50515,             0.46815,             0.16211,            0.063498,             0.11077,                   0,           0.0095159,           0.0095159,           0.0095159
                 151,            0.049135,            0.065933,                   0,              0.5314,             0.50515,             0.46815,             0.16211,            0.063498,             0.11077,                   0,           0.0095095,           0.0095095,           0.0095095
                 152,            0.047941,            0.065003,                   0,             0.55143,             0.49485,             0.46276,             0.16134,             0.06224,              0.1049,                   0,           0.0095031,           0.0095031,           0.0095031
