               epoch,      train_box_loss,      train_obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
68,0.11247,0.08777,0,0.0062662,0.057692,0.0027279,0.0007222,0.11845,0.12292,0,0.0006769,0.0006769,0.093877
69,0.11181,0.1192,0,0.0063759,0.057692,0.0027416,0.00072554,0.11808,0.12411,0,0.00068676,0.00068676,0.093787
70,0.11402,0.1091,0,0.0063759,0.057692,0.0027416,0.00072554,0.11808,0.12411,0,0.00069662,0.00069662,0.093697
71,0.11433,0.075905,0,0.0043524,0.038462,0.0017852,0.00035703,0.1179,0.12488,0,0.00070647,0.00070647,0.093606
72,0.11518,0.080718,0,0.0043524,0.038462,0.0017852,0.00035703,0.1179,0.12488,0,0.00071632,0.00071632,0.093516
73,0.11048,0.1001,0,0.0044393,0.038462,0.0017812,0.00044624,0.11756,0.12583,0,0.00072617,0.00072617,0.093426
74,0.11014,0.082175,0,0.0044393,0.038462,0.0017812,0.00044624,0.11756,0.12583,0,0.00073601,0.00073601,0.093336
75,0.11073,0.10498,0,0.0056758,0.019231,0.0018001,0.00045214,0.11741,0.12625,0,0.00074584,0.00074584,0.093246
76,0.11466,0.14062,0,0.0056758,0.019231,0.0018001,0.00045214,0.11741,0.12625,0,0.00075568,0.00075568,0.093156
77,0.11074,0.10817,0,0.0058895,0.038462,0.0018377,0.00045771,0.1171,0.12726,0,0.0007655,0.0007655,0.093066
78,0.11035,0.11937,0,0.0058895,0.038462,0.0018377,0.00045771,0.1171,0.12726,0,0.00077533,0.00077533,0.092975
79,0.11857,0.11395,0,0.0079043,0.076923,0.0037266,0.00082327,0.11679,0.12841,0,0.00078514,0.00078514,0.092885
80,0.10785,0.075133,0,0.0079043,0.076923,0.0037266,0.00082327,0.11679,0.12841,0,0.00079496,0.00079496,0.092795
81,0.11199,0.11578,0,0.0079204,0.076923,0.0037147,0.00081987,0.11685,0.12821,0,0.00080477,0.00080477,0.092705
82,0.113,0.091973,0,0.0079204,0.076923,0.0037147,0.00081987,0.11685,0.12821,0,0.00081457,0.00081457,0.092615
83,0.11237,0.10588,0,0.0075784,0.019231,0.00094154,0.00018831,0.11681,0.1286,0,0.00082437,0.00082437,0.092524
84,0.1052,0.074327,0,0.0075784,0.019231,0.00094154,0.00018831,0.11681,0.1286,0,0.00083417,0.00083417,0.092434
85,0.1134,0.083333,0,0.002047,0.019231,0.00085668,0.00017134,0.11669,0.12918,0,0.00084395,0.00084395,0.092344
86,0.11875,0.096576,0,0.002047,0.019231,0.00085668,0.00017134,0.11669,0.12918,0,0.00085374,0.00085374,0.092254
87,0.107,0.10847,0,0.0040895,0.038462,0.0017646,0.00035292,0.11667,0.12935,0,0.00086352,0.00086352,0.092164
88,0.11183,0.11872,0,0.0040895,0.038462,0.0017646,0.00035292,0.11667,0.12935,0,0.00087329,0.00087329,0.092073
89,0.11205,0.09859,0,0.0021007,0.019231,0.00085739,0.00034296,0.11644,0.13005,0,0.00088306,0.00088306,0.091983
90,0.11304,0.12558,0,0.0021007,0.019231,0.00085739,0.00034296,0.11644,0.13005,0,0.00089283,0.00089283,0.091893
91,0.11224,0.1297,0,0.0021549,0.019231,0.00085791,0.00025737,0.11624,0.13058,0,0.00090259,0.00090259,0.091803
92,0.10561,0.082508,0,0.0021549,0.019231,0.00085791,0.00025737,0.11624,0.13058,0,0.00091234,0.00091234,0.091712
93,0.11205,0.11599,0,0.0036983,0.019231,0.00088388,8.8388E-05,0.11611,0.13086,0,0.00092209,0.00092209,0.091622
94,0.11579,0.10237,0,0.0036983,0.019231,0.00088388,8.8388E-05,0.11611,0.13086,0,0.00093183,0.00093183,0.091532
95,0.115,0.11315,0,0.0053332,0.019231,0.0017909,0.00026986,0.11607,0.13067,0,0.00094157,0.00094157,0.091442
96,0.11373,0.09496,0,0.0053332,0.019231,0.0017909,0.00026986,0.11607,0.13067,0,0.0009513,0.0009513,0.091351
97,0.11202,0.10207,0,0.0053402,0.038462,0.0018012,0.00018012,0.1161,0.13028,0,0.00096102,0.00096102,0.091261
98,0.1145,0.12169,0,0.0053402,0.038462,0.0018012,0.00018012,0.1161,0.13028,0,0.00097074,0.00097074,0.091171
99,0.11922,0.1014,0,0.0060944,0.057692,0.0027158,0.00035717,0.11598,0.13074,0,0.00098046,0.00098046,0.09108
100,0.11035,0.087151,0,0.0060944,0.057692,0.0027158,0.00035717,0.11598,0.13074,0,0.00099017,0.00099017,0.09099
101,0.11137,0.079364,0,0.0060944,0.057692,0.0027158,0.00035717,0.11598,0.13074,0,0.00099987,0.00099987,0.0909
102,0.11737,0.10451,0,0.0060575,0.057692,0.0027326,0.00027326,0.11592,0.13024,0,0.0010096,0.0010096,0.09081
103,0.11116,0.11143,0,0.0060575,0.057692,0.0027326,0.00027326,0.11592,0.13024,0,0.0010193,0.0010193,0.090719
104,0.1084,0.12454,0,0.0060575,0.057692,0.0027326,0.00027326,0.11592,0.13024,0,0.0010289,0.0010289,0.090629
105,0.1059,0.10947,0,0.008241,0.038462,0.0019443,0.00038885,0.11569,0.13092,0,0.0010386,0.0010386,0.090539
106,0.11186,0.11128,0,0.008241,0.038462,0.0019443,0.00038885,0.11569,0.13092,0,0.0010483,0.0010483,0.090448
107,0.10752,0.082132,0,0.008241,0.038462,0.0019443,0.00038885,0.11569,0.13092,0,0.001058,0.001058,0.090358
108,0.1127,0.10395,0,0.0021356,0.019231,0.00085868,0.00042934,0.11505,0.13243,0,0.0010676,0.0010676,0.090268
109,0.11327,0.084659,0,0.0021356,0.019231,0.00085868,0.00042934,0.11505,0.13243,0,0.0010773,0.0010773,0.090177
110,0.10789,0.1044,0,0.0021356,0.019231,0.00085868,0.00042934,0.11505,0.13243,0,0.0010869,0.0010869,0.090087
111,0.11654,0.12339,0,0.0069043,0.019231,0.00093384,0.00037354,0.11526,0.13131,0,0.0010966,0.0010966,0.089997
112,0.11329,0.090106,0,0.0069043,0.019231,0.00093384,0.00037354,0.11526,0.13131,0,0.0011062,0.0011062,0.089906
113,0.1162,0.098006,0,0.0069043,0.019231,0.00093384,0.00037354,0.11526,0.13131,0,0.0011158,0.0011158,0.089816
114,0.10387,0.09226,0,0.0046143,0.019231,0.00090207,0.00027062,0.11532,0.13117,0,0.0011254,0.0011254,0.089725
115,0.11089,0.092493,0,0.0046143,0.019231,0.00090207,0.00027062,0.11532,0.13117,0,0.0011351,0.0011351,0.089635
116,0.11068,0.090377,0,0.0046143,0.019231,0.00090207,0.00027062,0.11532,0.13117,0,0.0011447,0.0011447,0.089545
117,0.11007,0.11025,0,0.0043031,0.019231,0.00089544,0.00017909,0.11515,0.13142,0,0.0011543,0.0011543,0.089454
118,0.11025,0.091196,0,0.0043031,0.019231,0.00089544,0.00017909,0.11515,0.13142,0,0.0011639,0.0011639,0.089364
119,0.11124,0.090836,0,0.0043031,0.019231,0.00089544,0.00017909,0.11515,0.13142,0,0.0011735,0.0011735,0.089273
120,0.10984,0.11572,0,0.0056789,0.057692,0.0027108,0.00044946,0.11527,0.13027,0,0.001183,0.001183,0.089183
121,0.1082,0.12223,0,0.0056789,0.057692,0.0027108,0.00044946,0.11527,0.13027,0,0.0011926,0.0011926,0.089093
122,0.10594,0.093997,0,0.0056789,0.057692,0.0027108,0.00044946,0.11527,0.13027,0,0.0012022,0.0012022,0.089002
123,0.11091,0.096685,0,0.0078021,0.076923,0.0037147,0.00063904,0.11508,0.13091,0,0.0012117,0.0012117,0.088912
124,0.10881,0.095101,0,0.0078021,0.076923,0.0037147,0.00063904,0.11508,0.13091,0,0.0012213,0.0012213,0.088821
125,0.10755,0.10452,0,0.0078021,0.076923,0.0037147,0.00063904,0.11508,0.13091,0,0.0012308,0.0012308,0.088731
126,0.11244,0.11324,0,0.01037,0.038462,0.0019787,0.00039573,0.11452,0.13267,0,0.0012404,0.0012404,0.08864
127,0.11083,0.13636,0,0.01037,0.038462,0.0019787,0.00039573,0.11452,0.13267,0,0.0012499,0.0012499,0.08855
128,0.11084,0.14405,0,0.01037,0.038462,0.0019787,0.00039573,0.11452,0.13267,0,0.0012594,0.0012594,0.088459
129,0.10832,0.093267,0,0.015858,0.038462,0.0031203,0.00063225,0.11486,0.13211,0,0.0012689,0.0012689,0.088369
130,0.10929,0.12681,0,0.015858,0.038462,0.0031203,0.00063225,0.11486,0.13211,0,0.0012785,0.0012785,0.088278
131,0.10848,0.10502,0,0.015858,0.038462,0.0031203,0.00063225,0.11486,0.13211,0,0.001288,0.001288,0.088188
132,0.10863,0.092178,0,0.035826,0.038462,0.0033414,0.00069901,0.11512,0.13093,0,0.0012974,0.0012974,0.088097
133,0.10983,0.084826,0,0.035826,0.038462,0.0033414,0.00069901,0.11512,0.13093,0,0.0013069,0.0013069,0.088007
134,0.1134,0.095227,0,0.035826,0.038462,0.0033414,0.00069901,0.11512,0.13093,0,0.0013164,0.0013164,0.087916
135,0.10606,0.0989,0,0.017206,0.038462,0.0022563,0.00022563,0.11488,0.13093,0,0.0013259,0.0013259,0.087826
136,0.10756,0.082436,0,0.017206,0.038462,0.0022563,0.00022563,0.11488,0.13093,0,0.0013353,0.0013353,0.087735
137,0.10538,0.10305,0,0.017206,0.038462,0.0022563,0.00022563,0.11488,0.13093,0,0.0013448,0.0013448,0.087645
138,0.10196,0.093927,0,0.013814,0.019231,0.001942,0.00036759,0.1149,0.13089,0,0.0013542,0.0013542,0.087554
139,0.10859,0.097125,0,0.013814,0.019231,0.001942,0.00036759,0.1149,0.13089,0,0.0013637,0.0013637,0.087464
140,0.10735,0.089256,0,0.013814,0.019231,0.001942,0.00036759,0.1149,0.13089,0,0.0013731,0.0013731,0.087373
141,0.10741,0.072342,0,0.043879,0.038462,0.00508,0.0012412,0.11502,0.12916,0,0.0013825,0.0013825,0.087283
142,0.10604,0.10316,0,0.043879,0.038462,0.00508,0.0012412,0.11502,0.12916,0,0.0013919,0.0013919,0.087192
143,0.10632,0.089563,0,0.043879,0.038462,0.00508,0.0012412,0.11502,0.12916,0,0.0014014,0.0014014,0.087101
144,0.10904,0.1189,0,0.04299,0.057692,0.0068676,0.0013255,0.11506,0.12855,0,0.0014108,0.0014108,0.087011
145,0.10062,0.071923,0,0.04299,0.057692,0.0068676,0.0013255,0.11506,0.12855,0,0.0014201,0.0014201,0.08692
146,0.11045,0.14068,0,0.04299,0.057692,0.0068676,0.0013255,0.11506,0.12855,0,0.0014295,0.0014295,0.08683
147,0.10774,0.11445,0,0.045955,0.038462,0.0080702,0.00119,0.11488,0.1287,0,0.0014389,0.0014389,0.086739
148,0.10487,0.072174,0,0.045955,0.038462,0.0080702,0.00119,0.11488,0.1287,0,0.0014483,0.0014483,0.086648
149,0.11005,0.098615,0,0.045955,0.038462,0.0080702,0.00119,0.11488,0.1287,0,0.0014576,0.0014576,0.086558
150,0.10514,0.092974,0,0.04468,0.038462,0.0064268,0.0015655,0.11455,0.12863,0,0.001467,0.001467,0.086467
151,0.10761,0.070133,0,0.04468,0.038462,0.0064268,0.0015655,0.11455,0.12863,0,0.0014763,0.0014763,0.086376
152,0.11234,0.13263,0,0.04468,0.038462,0.0064268,0.0015655,0.11455,0.12863,0,0.0014856,0.0014856,0.086286
153,0.10599,0.12199,0,0.073208,0.038462,0.0094484,0.0019328,0.11477,0.12788,0,0.001495,0.001495,0.086195
154,0.10458,0.11058,0,0.073208,0.038462,0.0094484,0.0019328,0.11477,0.12788,0,0.0015043,0.0015043,0.086104
155,0.10631,0.067686,0,0.073208,0.038462,0.0094484,0.0019328,0.11477,0.12788,0,0.0015136,0.0015136,0.086014
156,0.10289,0.13172,0,0.067165,0.038462,0.0066777,0.0015442,0.11465,0.12728,0,0.0015229,0.0015229,0.085923
157,0.10497,0.10245,0,0.067165,0.038462,0.0066777,0.0015442,0.11465,0.12728,0,0.0015321,0.0015321,0.085832
158,0.10701,0.095984,0,0.067165,0.038462,0.0066777,0.0015442,0.11465,0.12728,0,0.0015414,0.0015414,0.085741
159,0.10625,0.077382,0,0.040765,0.057692,0.0061746,0.0012101,0.11479,0.12642,0,0.0015507,0.0015507,0.085651
160,0.10409,0.12146,0,0.040765,0.057692,0.0061746,0.0012101,0.11479,0.12642,0,0.00156,0.00156,0.08556
161,0.10859,0.11441,0,0.040765,0.057692,0.0061746,0.0012101,0.11479,0.12642,0,0.0015692,0.0015692,0.085469
162,0.11419,0.13674,0,0.060008,0.038462,0.0060752,0.00073995,0.11507,0.12518,0,0.0015784,0.0015784,0.085378
163,0.099889,0.071665,0,0.060008,0.038462,0.0060752,0.00073995,0.11507,0.12518,0,0.0015877,0.0015877,0.085288
164,0.10673,0.12379,0,0.060008,0.038462,0.0060752,0.00073995,0.11507,0.12518,0,0.0015969,0.0015969,0.085197
165,0.10819,0.10222,0,0.049849,0.038462,0.004275,0.00085501,0.115,0.12582,0,0.0016061,0.0016061,0.085106
166,0.10639,0.10626,0,0.049849,0.038462,0.004275,0.00085501,0.115,0.12582,0,0.0016153,0.0016153,0.085015
167,0.11175,0.11886,0,0.049849,0.038462,0.004275,0.00085501,0.115,0.12582,0,0.0016245,0.0016245,0.084924
168,0.10326,0.088069,0,0.049849,0.038462,0.004275,0.00085501,0.115,0.12582,0,0.0016337,0.0016337,0.084834
169,0.10853,0.10968,0,0.075319,0.038462,0.0074054,0.0012732,0.11473,0.12579,0,0.0016429,0.0016429,0.084743
170,0.10551,0.118,0,0.075319,0.038462,0.0074054,0.0012732,0.11473,0.12579,0,0.001652,0.001652,0.084652
171,0.10591,0.078548,0,0.075319,0.038462,0.0074054,0.0012732,0.11473,0.12579,0,0.0016612,0.0016612,0.084561
172,0.10463,0.090168,0,0.075319,0.038462,0.0074054,0.0012732,0.11473,0.12579,0,0.0016703,0.0016703,0.08447
173,0.10887,0.094675,0,0.099884,0.038462,0.007494,0.0010575,0.11461,0.12526,0,0.0016795,0.0016795,0.084379
174,0.11353,0.09079,0,0.099884,0.038462,0.007494,0.0010575,0.11461,0.12526,0,0.0016886,0.0016886,0.084289
175,0.10701,0.10024,0,0.099884,0.038462,0.007494,0.0010575,0.11461,0.12526,0,0.0016977,0.0016977,0.084198
176,0.10753,0.13271,0,0.099884,0.038462,0.007494,0.0010575,0.11461,0.12526,0,0.0017068,0.0017068,0.084107
177,0.10356,0.10715,0,0.14507,0.038462,0.01046,0.0018845,0.11431,0.12561,0,0.0017159,0.0017159,0.084016
178,0.10526,0.10543,0,0.14507,0.038462,0.01046,0.0018845,0.11431,0.12561,0,0.001725,0.001725,0.083925
179,0.10529,0.12992,0,0.14507,0.038462,0.01046,0.0018845,0.11431,0.12561,0,0.0017341,0.0017341,0.083834
180,0.10928,0.10899,0,0.14507,0.038462,0.01046,0.0018845,0.11431,0.12561,0,0.0017431,0.0017431,0.083743
181,0.10646,0.096722,0,0.12368,0.057692,0.013352,0.0026912,0.11389,0.12537,0,0.0017522,0.0017522,0.083652
182,0.11017,0.12443,0,0.12368,0.057692,0.013352,0.0026912,0.11389,0.12537,0,0.0017612,0.0017612,0.083561
183,0.1079,0.11907,0,0.12368,0.057692,0.013352,0.0026912,0.11389,0.12537,0,0.0017703,0.0017703,0.08347
184,0.10827,0.10795,0,0.12368,0.057692,0.013352,0.0026912,0.11389,0.12537,0,0.0017793,0.0017793,0.083379
185,0.1084,0.087779,0,0.14663,0.057692,0.020581,0.0061066,0.11354,0.1253,0,0.0017883,0.0017883,0.083288
186,0.10371,0.10739,0,0.14663,0.057692,0.020581,0.0061066,0.11354,0.1253,0,0.0017973,0.0017973,0.083197
187,0.10173,0.09356,0,0.14663,0.057692,0.020581,0.0061066,0.11354,0.1253,0,0.0018063,0.0018063,0.083106
188,0.10515,0.12276,0,0.14663,0.057692,0.020581,0.0061066,0.11354,0.1253,0,0.0018153,0.0018153,0.083015
189,0.1069,0.11741,0,0.17521,0.057692,0.028529,0.011434,0.11281,0.12688,0,0.0018242,0.0018242,0.082924
190,0.10592,0.109,0,0.17521,0.057692,0.028529,0.011434,0.11281,0.12688,0,0.0018332,0.0018332,0.082833
191,0.10552,0.1085,0,0.17521,0.057692,0.028529,0.011434,0.11281,0.12688,0,0.0018421,0.0018421,0.082742
192,0.10623,0.090541,0,0.17521,0.057692,0.028529,0.011434,0.11281,0.12688,0,0.0018511,0.0018511,0.082651
193,0.10481,0.1112,0,0.078619,0.057692,0.018921,0.0071139,0.11282,0.12623,0,0.00186,0.00186,0.08256
194,0.10214,0.11176,0,0.078619,0.057692,0.018921,0.0071139,0.11282,0.12623,0,0.0018689,0.0018689,0.082469
195,0.10575,0.11717,0,0.078619,0.057692,0.018921,0.0071139,0.11282,0.12623,0,0.0018778,0.0018778,0.082378
196,0.10167,0.084747,0,0.078619,0.057692,0.018921,0.0071139,0.11282,0.12623,0,0.0018867,0.0018867,0.082287
197,0.10559,0.071939,0,0.28268,0.038462,0.022288,0.0068021,0.11269,0.12591,0,0.0018956,0.0018956,0.082196
198,0.1063,0.1205,0,0.28268,0.038462,0.022288,0.0068021,0.11269,0.12591,0,0.0019045,0.0019045,0.082104
199,0.10615,0.10075,0,0.28268,0.038462,0.022288,0.0068021,0.11269,0.12591,0,0.0019133,0.0019133,0.082013
200,0.1049,0.12427,0,0.28268,0.038462,0.022288,0.0068021,0.11269,0.12591,0,0.0019222,0.0019222,0.081922
201,0.10975,0.10997,0,0.43269,0.038462,0.023547,0.0056292,0.11242,0.12612,0,0.001931,0.001931,0.081831
202,0.10703,0.10027,0,0.43269,0.038462,0.023547,0.0056292,0.11242,0.12612,0,0.0019399,0.0019399,0.08174
203,0.11115,0.082188,0,0.43269,0.038462,0.023547,0.0056292,0.11242,0.12612,0,0.0019487,0.0019487,0.081649
204,0.099091,0.10508,0,0.43269,0.038462,0.023547,0.0056292,0.11242,0.12612,0,0.0019575,0.0019575,0.081557
205,0.10636,0.11172,0,0.069883,0.11538,0.029789,0.0067936,0.11232,0.12594,0,0.0019663,0.0019663,0.081466
206,0.098387,0.085776,0,0.069883,0.11538,0.029789,0.0067936,0.11232,0.12594,0,0.0019751,0.0019751,0.081375
207,0.10726,0.11724,0,0.069883,0.11538,0.029789,0.0067936,0.11232,0.12594,0,0.0019838,0.0019838,0.081284
208,0.10641,0.13033,0,0.069883,0.11538,0.029789,0.0067936,0.11232,0.12594,0,0.0019926,0.0019926,0.081193
